1,花束みたいな恋をした,勿忘,Awesome City Club
1,さよならくちびる,さよならくちびる,秦 基博
1,溺れるナイフ,コミック・ジェネレイション,ドレスコーズ
1,愛がなんだ,Cakes,Homecomings
1,生きてるだけで、愛。,Raw Scaramanga,世武裕子

2,Love Letter,,
2,鉄道員（ぽっぽや）,鉄道員,坂本龍一
2,WASABI,,
2,スワロウテイル,Swallowtail Butterfly 〜あいのうた〜,小林武史
2,紅の豚,さくらんぼの実る頃,加藤登紀子
2,THE 有頂天ホテル,If My Friends Could See Me Now,桜チェリー
2,アメリカン・グラフィティ,Rock Around the Clock,William John Clifton Haley
2,マイケル・ジャクソン THIS IS IT,,
2,ネバーエンディング・ストーリー,The Never Ending Story ,Limahl
2,モモ,,

3,ライアーゲーム －再生－,,
3,コンフィデンスマンJP,Anarchy,髭男dism
3,ヒョンジェ　～釜山港の兄弟～,,
3,パラサイト 半地下の家族,Soju One Glass,チェ・ウシク
3,ペイ・フォワード　可能の王国,Calling All Angels, jane siberry
4,ファンタスティック・ビーストと黒い魔法使いの誕生,,
4,君の名は。,前前前世,RADWIMPS
4,バックドラフト,,
4,バック・トゥ・ザ・フューチャー,パワー・オブ・ラヴ,ヒューイ・ルイス
4,ヒューイ・ルイス,,
4,ロビン・フッド,ブライアン・アダムス「(Everything I Do) I Do It for You」, Bryan Adams 
4,ザ・マジックアワー,,
4,仮面病棟,AS ONE,UVERworld
5,スーパーマン リターンズ,,
5,リーグ・オブ・レジェンド／時空を超えた戦い,,
5,THE 有頂天ホテル,If My Friends Could See Me Now,桜チェリー
5,新機動戦記ガンダムW Endless Waltz 特別篇,LAST IMPRESSION,TWO-MIX
5,サマーウォーズ,僕らの夏の夢,山下達郎 
6,ONE PIECE　ワンピース　THE MOVIE　デッドエンドの冒険,sailing day,BUMP OF CHICKEN
6,HiGH&LOW THE MOVIE 2 / END OF SKY,,
6,名探偵コナン　紺青の拳（こんじょうのフィスト）,SUPERMOON,EXILE HIRO
6,劇場版 NARUTO－ナルト－　疾風伝,Lie-Lie-Lie,DJ OZMA
6,銀魂 THE FINAL,轍～Wadachi～,SPYAIR
6,バイオハザード：ヴェンデッタ,,
6,劇場版「鬼滅の刃」無限列車編,炎,LiSA
6,劇場版ポケットモンスター／ダイヤモンド＆パール　ディアルガVSパルキアVSダークライ,ビー・ウィズ・ユー〜いつもそばに〜,サラ・ブライトマン
6,花より男子ファイナル,One Love,嵐
6,STAND BY ME ドラえもん,ひまわりの約束,秦基博

7,21世紀の女の子,LOW hAPPYENDROLL -少女のままで死ぬ-,大森靖子
7,愛がなんだ,Cakes,Homecomings
7,街の上で,街の人,ラッキーオールドサン
7,mellow,花になる,並木瑠璃
7,おんなのこきらい,女の子入門,ふぇのたす
7,燃ゆる女の肖像,,
7,ザ・プロム,Changing Lives,メリル・ストリープ, ジェームズ・コーデン & The Prom Ensemble
7,　卒業前夜のパーティーデビュー,,
7,ミスエデュケーション,,

8,AI崩壊,僕らを待つ場所,AI
8,あゝ、荒野　前篇,今夜,BRAHMAN
8,あゝ、荒野　後篇,今夜,BRAHMAN
8,ディストラクション・ベイビーズ,約束,向井秀徳
8,森山中教習所,Friend Ship,星野源
8,フォルトゥナの瞳,In the Stars（feat. Kiiara）,ONE OK ROCK
8,サヨナラまでの30分,,
8,チャーリーとチョコレート工場,Wonka's Welcome Song,Danny Elfman
8,ピンクとグレー,Right Now,ASIAN KUNG-FU GENERATION
8,DESTINY 鎌倉ものがたり,あなた,宇多田ヒカル

9,アイの歌声を聴かせて,フィール ザ ムーンライト ～愛の歌声を聴かせて～,咲妃みゆ
9,かぐや様は告らせたい ～天才たちの恋愛頭脳戦～,koi-wazurai,King & Prince
9,かぐや様は告らせたい ～天才たちの恋愛頭脳戦～ ファイナル,恋降る月夜に君想ふ,King & Prince
9,あなたの番です 劇場版,ONE AND LAST,Aimer
9,ボス・ベイビー,,

10,銀魂2　掟は破るためにこそある,大不正解,backnumber
10,るろうに剣心　最終章 The Beginning,Broken Heart of Gold,ONE OK ROCK
10,ズートピア,トライ・エヴリシング,Dream Ami
10,劇場版「鬼滅の刃」無限列車編,炎,LiSA
10,ミュウツーの逆襲 EVOLUTION,風といっしょに,小林幸子

1,花束みたいな恋をした,勿忘,Awesome City Club,"['勿忘', 'Grower', 'Awesome City Club', '2021-02-10', 251533, 75, 6, 0, 0.448, 0.234, 0.447, 0, 0.382, -7.161, 0.045, 78.861, 4, 0.299]"
1,溺れるナイフ,コミック・ジェネレイション,ドレスコーズ,"['コミック・ジェネレイション', '人間ビデオ', 'the dresscodes', '2016-10-12', 270746, 23, 2, 1, 0.457, 0.000119, 0.954, 0.246, 0.0688, -3.541, 0.11, 139.03, 4, 0.484]"

2,アメリカン・グラフィティ,Rock Around the Clock,William John Clifton Haley,"['Swing the Mood', 'Jive Bunny the Album', 'Jive Bunny and the Mastermixers', '2012-10-08', 243435, 42, 8, 1, 0.812, 0.119, 0.684, 0.0175, 0.0906, -8.925, 0.0992, 92.97, 4, 0.813]"
2,ネバーエンディング・ストーリー,The Never Ending Story ,Limahl,"['Never Ending Story', 'The Never Ending Story', 'Klaus Doldinger', '1984', 210013, 52, 0, 1, 0.579, 0.22, 0.803, 0.00116, 0.22, -7.588, 0.0281, 122.422, 4, 0.77]"

3,コンフィデンスマンJP,Anarchy,髭男dism,"['Anarchy', 'Anarchy', 'Official HIGE DANdism', '2022-01-07', 268431, 55, 11, 0, 0.7, 0.000311, 0.716, 0.00254, 0.101, -7.834, 0.0307, 133.968, 4, 0.471]"
3,ペイ・フォワード　可能の王国,Calling All Angels, jane siberry,"['Calling All Angels (with k.d. lang) - Remix Version', 'When I Was A Boy', 'Jane Siberry', '1993-07-30', 314186, 38, 7, 1, 0.261, 0.608, 0.149, 7.02e-06, 0.0822, -12.52, 0.0436, 184.461, 3, 0.144]"

4,君の名は。,前前前世,,"['前前前世', '前前前世', 'Aruvn', '2017-01-31', 280460, 37, 1, 0, 0.502, 0.00179, 0.952, 0, 0.0908, -4.567, 0.0805, 94.939, 4, 0.501]"
4,仮面病棟,AS ONE,UVERworld,"['AS ONE', '30', 'UVERworld', '2021-12-22', 229253, 45, 1, 1, 0.333, 0.000225, 0.859, 2.63e-05, 0.618, -4.596, 0.073, 107.146, 3, 0.519]"

5,新機動戦記ガンダムW Endless Waltz 特別篇,LAST IMPRESSION,TWO-MIX,"['Home Screen Blues', 'Upset City', 'Major Player', '2020-10-20', 211583, 0, 7, 0, 0.744, 0.0722, 0.716, 0.00751, 0.118, -6.648, 0.0411, 89.99, 4, 0.473]"
5,サマーウォーズ,僕らの夏の夢,山下達郎 ,"['僕らの夏の夢(カラオケ)[原曲歌手:山下達郎]', '僕らの夏の夢(カラオケ)[原曲歌手:山下達郎]', '歌っちゃ王', '2021-10-12', 304404, 0, 6, 1, 0.617, 0.597, 0.418, 0.884, 0.118, -12.29, 0.0296, 122.041, 3, 0.227]"

6,ONE PIECE　ワンピース　THE MOVIE　デッドエンドの冒険,sailing day,BUMP OF CHICKEN,"['sailing day', 'ユグドラシル', 'BUMP OF CHICKEN', '2004-08-25', 244666, 46, 3, 1, 0.422, 0.00674, 0.953, 0, 0.0999, -2.233, 0.0391, 94.826, 4, 0.744]"
6,銀魂 THE FINAL,轍～Wadachi～,SPYAIR,"['轍~Wadachi~', '轍~Wadachi~', 'SPYAIR', '2021-01-06', 222120, 53, 7, 1, 0.449, 2.94e-05, 0.939, 0, 0.28, -4.137, 0.138, 132.002, 4, 0.341]"
6,劇場版「鬼滅の刃」無限列車編,炎,LiSA,"['炎', '炎', 'LiSA', '2020-10-12', 275000, 73, 2, 1, 0.477, 0.105, 0.685, 0, 0.277, -4.554, 0.0325, 152.04, 4, 0.308]"
6,花より男子ファイナル,One Love,嵐,"['One Love', 'One Love', 'ARASHI', '2008-06-25', 285459, 56, 10, 1, 0.552, 0.188, 0.938, 0, 0.405, -3.179, 0.0468, 102.976, 4, 0.699]"
6,STAND BY ME ドラえもん,ひまわりの約束,秦基博,"['ひまわりの約束 - オリジナルアーティスト:秦基博 [カラオケ]', 'アニソン特集 Vol.3 (カラオケ)', 'カラオケうたプリンス', '2017-01-19', 313357, 0, 10, 1, 0.43, 0.0299, 0.368, 0.901, 0.214, -7.781, 0.027, 78.996, 4, 0.245]"

7,21世紀の女の子,LOW hAPPYENDROLL -少女のままで死ぬ-,大森靖子,"['LOW hAPPYENDROLL --少女のままで死ぬ--', '大森靖子', 'Seiko Oomori', '2020-02-12', 396052, 15, 1, 1, 0.596, 0.357, 0.703, 0, 0.0791, -5.303, 0.0415, 83.984, 4, 0.718]"
7,ザ・プロム,Changing Lives,メリル・ストリープ, ジェームズ・コーデン & The Prom Ensemble,"['Changing Lives', 'The Prom (Music from the Netflix Film)', ""The Cast of Netflix's Film The Prom"", '2020-12-04', 189520, 38, 6, 1, 0.606, 0.194, 0.804, 0, 0.0464, -6.237, 0.203, 142.098, 4, 0.689]"

8,AI崩壊,僕らを待つ場所,AI,"['僕らを待つ場所 (映画「AI崩壊」主題歌) インスト カヴァー', 'J-POP最新ベストヒットVol.50', 'CANDY BAND', '2020-02-01', 297007, 1, 0, 1, 0.607, 0.918, 0.157, 0.809, 0.109, -11.777, 0.0722, 135.805, 4, 0.399]"

8,森山中教習所,Friend Ship,星野源,"['Friend Ship', 'YELLOW DANCER', 'Gen Hoshino', '2015-12-02', 282466, 27, 2, 1, 0.724, 0.0105, 0.761, 7.35e-06, 0.171, -7.478, 0.0304, 112.056, 4, 0.548]"

8,ピンクとグレー,Right Now,ASIAN KUNG-FU GENERATION,"['Right Now', 'BEST HIT AKG 2 (2012-2018)', 'ASIAN KUNG-FU GENERATION', '2018-03-28', 268733, 33, 7, 1, 0.315, 0.00449, 0.96, 0.000137, 0.337, -3.055, 0.0543, 180.794, 4, 0.492]"

8,DESTINY 鎌倉ものがたり,あなた,宇多田ヒカル,"['あなた', '初恋', 'Hikaru Utada', '2018-06-27', 277133, 57, 8, 1, 0.38, 0.466, 0.699, 0, 0.117, -6.436, 0.063, 178.007, 4, 0.799]"


9,かぐや様は告らせたい ～天才たちの恋愛頭脳戦～ ファイナル,恋降る月夜に君想ふ,King & Prince,"['恋降る月夜に君想ふ(映画『かぐや様は告らせたい ~天才たちの恋愛頭脳戦~ ファイナル』主題歌)(オリジナル:King&Prince)(アコースティック&エレクトリックピアノDUO)', 'アコースティックピアノとエレクトニックピアノが奏でる自然に心が落ちつくヒーリングサウンド集~Vol.9 J-POP', 'スイートピアノ・メロディーズ', '2021-09-09', 236012, 14, 3, 1, 0.662, 0.965, 0.311, 0.873, 0.138, -13.785, 0.0336, 119.946, 4, 0.265]"
9,あなたの番です 劇場版,ONE AND LAST,Aimer,"['ONE AND LAST', 'ONE AND LAST', 'Aimer', '2021-12-10', 287453, 58, 5, 1, 0.342, 0.000649, 0.902, 2.84e-05, 0.0796, -4.98, 0.246, 184.22, 4, 0.148]"




10,るろうに剣心　最終章 The Beginning,Broken Heart of Gold,ONE OK ROCK,"['Broken Heart of Gold', 'Broken Heart of Gold', 'ONE OK ROCK', '2021-05-27', 253487, 57, 10, 0, 0.451, 0.0822, 0.712, 0, 0.0785, -5.435, 0.0333, 85.683, 4, 0.119]"
10,ズートピア,トライ・エヴリシング,Dream Ami,"['トライ・エヴリシング - Dream Ami version', 'トライ・エヴリシング', 'Dream Ami', '2016-04-20', 198066, 26, 1, 1, 0.718, 0.0708, 0.835, 3.22e-05, 0.115, -3.903, 0.0352, 115.535, 4, 0.605]"
10,劇場版「鬼滅の刃」無限列車編,炎,LiSA,"['炎', '炎', 'LiSA', '2020-10-12', 275000, 73, 2, 1, 0.477, 0.105, 0.685, 0, 0.277, -4.554, 0.0325, 152.04, 4, 0.308]"
10,ミュウツーの逆襲 EVOLUTION,風といっしょに,小林幸子,"['風といっしょに(カラオケ)[原曲歌手:小林幸子]', '風といっしょに(カラオケ)[原曲歌手:小林幸子]', '歌っちゃ王', '2021-10-08', 288023, 0, 1, 1, 0.345, 0.798, 0.345, 0.962, 0.16, -10.401, 0.0274, 97.486, 4, 0.126]"


1 0.7194243828290807
2 0.9166820036459927
3 0.7164248903736682
5 0.6775282451805733
4 0.7962576365373892
7 0.9296413388256256
9 0.7488266640492227
6.1
"['sailing day', 'sailing day', 1.0]",
"['One Love', 'sailing day', 0.9512858760548576]",
"['轍~Wadachi~', 'sailing day', 0.9370481553480193]",
"['炎', 'sailing day', 0.9280070582012255]",
"['ひまわりの約束 - オリジナルアーティスト:秦基博 [カラオケ]', 'sailing day', 0.7721372793836393]"
6.2
"['轍~Wadachi~', '轍~Wadachi~', 1.0000000000000002]",
"['炎', '轍~Wadachi~', 0.973677008715928]",
"['One Love', '轍~Wadachi~', 0.9585781084491555]",
"['sailing day', '轍~Wadachi~', 0.9370481553480193]",
"['ひまわりの約束 - オリジナルアーティスト:秦基博 [カラオケ]', '轍~Wadachi~', 0.7987608889543079]"
6.3
"['炎', '炎', 1.0000000000000002]",
"['轍~Wadachi~', '炎', 0.973677008715928]",
"['sailing day', '炎', 0.9280070582012255]",
"['One Love', '炎', 0.9139430260203155]",
"['ひまわりの約束 - オリジナルアーティスト:秦基博 [カラオケ]', '炎', 0.7567015056149743]"
6.4
"['One Love', 'One Love', 1.0]",
"['轍~Wadachi~', 'One Love', 0.9585781084491555]",
"['sailing day', 'One Love', 0.9512858760548576]",
"['炎', 'One Love', 0.9139430260203155]",
"['ひまわりの約束 - オリジナルアーティスト:秦基博 [カラオケ]', 'One Love', 0.8350224482233712]"
6.5
"['ひまわりの約束 - オリジナルアーティスト:秦基博 [カラオケ]', 'ひまわりの約束 - オリジナルアーティスト:秦基博 [カラオケ]', 1.0000000000000002]",
"['One Love', 'ひまわりの約束 - オリジナルアーティスト:秦基博 [カラオケ]', 0.8350224482233712]",
"['轍~Wadachi~', 'ひまわりの約束 - オリジナルアーティスト:秦基博 [カラオケ]', 0.7987608889543079]",
"['sailing day', 'ひまわりの約束 - オリジナルアーティスト:秦基博 [カラオケ]', 0.7721372793836393]",
"['炎', 'ひまわりの約束 - オリジナルアーティスト:秦基博 [カラオケ]', 0.7567015056149743]"

8.1
"['僕らを待つ場所 (映画「AI崩壊」主題歌) インスト カヴァー', '僕らを待つ場所 (映画「AI崩壊」主題歌) インスト カヴァー', 1.0]",
"['あなた', '僕らを待つ場所 (映画「AI崩壊」主題歌) インスト カヴァー', 0.8130108614699804]",
"['Friend Ship', '僕らを待つ場所 (映画「AI崩壊」主題歌) インスト カヴァー', 0.7752607647212589]",
"['Right Now', '僕らを待つ場所 (映画「AI崩壊」主題歌) インスト カヴァー', 0.7239881063854274]"
8.2
"['Friend Ship', 'Friend Ship', 0.9999999999999999]",
"['Right Now', 'Friend Ship', 0.9495058665752022]",
"['あなた', 'Friend Ship', 0.9256787964048864]",
"['僕らを待つ場所 (映画「AI崩壊」主題歌) インスト カヴァー', 'Friend Ship', 0.7752607647212589]"
8.3
"['Right Now', 'Right Now', 1.0]",
"['あなた', 'Right Now', 0.9549984971615322]",
"['Friend Ship', 'Right Now', 0.9495058665752022]",
"['僕らを待つ場所 (映画「AI崩壊」主題歌) インスト カヴァー', 'Right Now', 0.7239881063854274]"
8.4
"['あなた', 'あなた', 1.0]","['Right Now', 'あなた', 0.9549984971615322]",
"['Friend Ship', 'あなた', 0.9256787964048864]",
"['僕らを待つ場所 (映画「AI崩壊」主題歌) インスト カヴァー', 'あなた', 0.8130108614699804]"
10.1
"['Broken Heart of Gold', 'Broken Heart of Gold', 0.9999999999999998]",
"['炎', 'Broken Heart of Gold', 0.7161700111714968]",
"['トライ・エヴリシング - Dream Ami version', 'Broken Heart of Gold', 0.7153355093588931]",
"['風といっしょに(カラオケ)[原曲歌手:小林幸子]', 'Broken Heart of Gold', 0.5204402111049448]"
10.2
"['トライ・エヴリシング - Dream Ami version', 'トライ・エヴリシング - Dream Ami version', 1.0]",
"['炎', 'トライ・エヴリシング - Dream Ami version', 0.9702783882767233]",
"['風といっしょに(カラオケ)[原曲歌手:小林幸子]', 'トライ・エヴリシング - Dream Ami version', 0.7357173505497766]",
"['Broken Heart of Gold', 'トライ・エヴリシング - Dream Ami version', 0.7153355093588931]"
10.3
"['炎', '炎', 1.0000000000000002]",
"['トライ・エヴリシング - Dream Ami version', '炎', 0.9702783882767233]",
"['風といっしょに(カラオケ)[原曲歌手:小林幸子]', '炎', 0.7658366265858374]",
"['Broken Heart of Gold', '炎', 0.7161700111714968]"
10.4
"['風といっしょに(カラオケ)[原曲歌手:小林幸子]', '風といっしょに(カラオケ)[原曲歌手:小林幸子]', 1.0]",
"['炎', '風といっしょに(カラオケ)[原曲歌手:小林幸子]', 0.7658366265858374]",
"['トライ・エヴリシング - Dream Ami version', '風といっしょに(カラオケ)[原曲歌手:小林幸子]', 0.7357173505497766]",
"['Broken Heart of Gold', '風といっしょに(カラオケ)[原曲歌手:小林幸子]', 0.5204402111049448]"
